"Super Street"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"SS","728","Jacob A","NOCLUB","100.000","0.000","100.000","4","3","0","0"
"SS","503","Tim T","NOCLUB","98.069","0.000","98.069","4","0","1","0"
"SS","369","Jonathan B","NOCLUB","97.229","0.000","97.229","4","1","1","0"
"SS","61","Gary S","NOCLUB","94.199","0.000","94.199","4","1","0","0"
"Super Street Ladies"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"A Street"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"AS","0","Bill S","DCCSD","97.293","100.000","197.293","8","1","0","0"
"AS","517","Andrew E","SCNAX","96.666","98.633","195.299","8","1","0","0"
"AS","397","Sebastian R","SCNAX","100.000","0.000","100.000","4","0","0","0"
"AS","497","Shauna R","SCNAX","97.673","0.000","97.673","4","1","0","0"
"B Street"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"BS","91","Dana L","SCNAX","100.000","0.000","100.000","4","3","0","0"
"BS","79","Judy M","SCNAX","96.348","0.000","96.348","4","0","0","0"
"C Street"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"CS","191","Daryl D","NOCLUB","87.652","89.808","177.460","8","3","0","0"
"CS","200","Brian G","SCNAX","98.947","0.000","98.947","4","1","0","0"
"CS","10","Scott L","SCAT","98.798","0.000","98.798","4","1","0","0"
"CS","202","Tim S","SCNAX","0.000","98.152","98.152","4","1","0","0"
"CS","42","Eric S","SCNAX","0.000","97.781","97.781","4","3","1","0"
"CS","513","Aidan G","NOCLUB","88.793","0.000","88.793","4","0","0","0"
"CS","324","Zaid D","NOCLUB","86.271","0.000","86.271","4","0","0","0"
"CS","935","Connor N","NOCLUB","83.776","0.000","83.776","4","1","0","0"
"C Street Ladies"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"D Street"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"DS","808","Dennis T","SCNAX","100.000","100.000","200.000","8","1","0","0"
"DS","580","Kee C","SCNAX","95.501","96.049","191.550","8","0","0","0"
"DS","423","Kyle P","DCCSD","93.237","94.328","187.565","8","0","0","0"
"E Street"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"ES","99","Mark W","SCAT","100.000","0.000","100.000","4","0","0","0"
"ES","399","John T","NOCLUB","92.293","0.000","92.293","4","0","0","0"
"ES","103","Arhip B","NOCLUB","0.000","84.812","84.812","4","9","0","0"
"E Street Ladies"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"F Street"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"FS","13","Hank Y","SCNAX","100.000","100.000","200.000","8","0","0","0"
"FS","73","Yik-Jong L","SCNAX","96.236","99.368","195.604","8","0","0","0"
"FS","267","Maurice P","NOCLUB","97.460","0.000","97.460","4","0","0","0"
"FS","313","Erica Y","NOCLUB","0.000","94.868","94.868","4","0","0","0"
"G Street"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"GS","924","Johan L","NOCLUB","100.000","0.000","100.000","4","0","0","0"
"GS","190","Chris B","SCNAX","99.048","0.000","99.048","4","0","0","0"
"G Street Ladies"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"H Street"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"HS","30","Greg W","SCAT","100.000","100.000","200.000","8","0","0","0"
"HS","240","Rick B","NOCLUB","94.608","97.690","192.298","8","0","3","0"
"HS","31","Ron C","NOCLUB","99.121","0.000","99.121","4","0","0","0"
"HS","233","Bob H","NOCLUB","91.439","0.000","91.439","4","0","0","0"
"H Street Ladies"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"Solo Spec Coupe"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"SSC","917","Austin K","NOCLUB","100.000","0.000","100.000","4","1","0","0"
"Solo Spec Coupe Ladies"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"SSCL","192","Maia K","NOCLUB","100.000","100.000","200.000","8","1","0","0"
"Street Touring Sport"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"Street Touring Xtreme"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"STX","293","Derek P","NOCLUB","100.000","0.000","100.000","4","1","0","0"
"STX","627","Justin G","SCNAX","92.250","0.000","92.250","4","0","2","0"
"Street Touring Unlimited"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"STU","508","Max L","NOCLUB","100.000","0.000","100.000","4","0","0","0"
"Street Touring Roadster"
"Class","#","Driver","Club","points_1","points_2","Total","Runs","Cones","DNFS","Sound"
"STR","182","Matt J","NOCLUB","100.000","0.000","100.000","4","0","1","0"
"STR","688","Nima A","SCAT","97.209","0.000","97.209","4","0","1","0"
"STR","782","Sara O","NOCLUB","95.877","0.000","95.877","4","0","0","0"
