"Super Street"
"CAMS","82","Henry B","DCCSD","97.687","97.687","4","0","0","0"
"CAMS","181","Richard K","NOCLUB","95.649","95.649","4","4","0","0"
"CAMS","105","Todd V","NOCLUB","95.056","95.056","4","1","0","0"
"Xtreme Street (indexed)"
"Class","#","Driver","Club","points_1","Total","Runs","Cones","DNFS","Sound"
"XS","561","Joseph P","NOCLUB","100.000","100.000","4","1","0","0"
"XS","369","Jonathan B","NOCLUB","94.876","94.876","4","2","1","0"
"XS","251","Mark M","SCAT","94.591","94.591","4","1","1","0"
"XS","235","Paul H","NOCLUB","94.574","94.574","4","0","0","0"
"XS","158","Edwin L","SCNAX","94.356","94.356","4","3","1","0"
"Modified 1 (indexed)"
"Class","#","Driver","Club","points_1","Total","Runs","Cones","DNFS","Sound"
"M1","143","Jeff K","NOCLUB","100.000","100.000","4","1","0","0"
"M1","17","David L","DCCSD","91.645","91.645","4","0","0","0"
"PAX (indexed)"
"Class","#","Driver","Club","points_1","Total","Runs","Cones","DNFS","Sound"
"PAX","94","Zak K","NOCLUB","100.000","100.000","4","1","0","0"
"PAX Ladies (indexed)"
"Class","#","Driver","Club","points_1","Total","Runs","Cones","DNFS","Sound"
"PAXL","43","Shawn K","NOCLUB","100.000","100.000","4","1","0","0"
