"place","car_number","name","club","points_1","total_points"
"1","143","Jeff K","NOCLUB","100.000","100.000"
"2","182","Matt J","NOCLUB","98.159","98.159"
"3","94","Zak K","NOCLUB","97.618","97.618"
"4","688","Nima A","SCAT","95.778","95.778"
"5","43","Shawn K","NOCLUB","95.362","95.362"
"6","980","Jason M","SCNAX","95.239","95.239"
"7","856","Will F","SCNAX","95.218","95.218"
"8","282","Danny G","SCNAX","94.925","94.925"
"9","10","Scott L","SCAT","94.907","94.907"
"10","663","Chris H","NOCLUB","94.803","94.803"
"11","216","Thomas F","NOCLUB","94.614","94.614"
"12","782","Sara O","NOCLUB","94.537","94.537"
"13","0","Bill S","DCCSD","94.425","94.425"
"14","99","Mark W","SCAT","94.216","94.216"
"15","118","George S","NOCLUB","93.901","93.901"
"16","561","Joseph P","NOCLUB","93.666","93.666"
"17","60","Jim M","NOCLUB","93.472","93.472"
"18","540","Fred F","DCCSD","93.204","93.204"
"19","202","Tim S","SCNAX","93.087","93.087"
"20","208","Austin B","NOCLUB","92.388","92.388"
"21","511","Darren L","NOCLUB","92.192","92.192"
"22","47","Thomas K","DCCSD","92.192","92.192"
"23","464","Harrison B","NOCLUB","92.135","92.135"
"24","207","Mike B","NOCLUB","92.046","92.046"
"25","30","Greg W","SCAT","91.817","91.817"
"26","17","David L","DCCSD","91.645","91.645"
"27","210","David R","NOCLUB","91.564","91.564"
"28","14","Bry M","DCCSD","91.113","91.113"
"29","91","Dana L","SCNAX","90.774","90.774"
"30","36","Chadric H","SCAT","90.508","90.508"
"31","474","Jon N","DCCSD","90.126","90.126"
"32","82","Henry B","DCCSD","90.059","90.059"
"33","13","Hank Y","SCNAX","89.704","89.704"
"34","79","Judy M","SCNAX","89.685","89.685"
"35","80","Craig N","SCAT","89.550","89.550"
"36","221","Michael M","NOCLUB","89.418","89.418"
"37","57","Paul R","NOCLUB","89.218","89.218"
"38","369","Jonathan B","NOCLUB","88.867","88.867"
"39","192","Maia K","NOCLUB","88.718","88.718"
"40","251","Mark M","SCAT","88.599","88.599"
"41","235","Paul H","NOCLUB","88.583","88.583"
"42","158","Edwin L","SCNAX","88.379","88.379"
"43","181","Richard K","NOCLUB","88.181","88.181"
"44","102","Corey B","NOCLUB","87.716","87.716"
"45","105","Todd V","NOCLUB","87.632","87.632"
"46","777","Patrick H","NOCLUB","87.574","87.574"
"47","223","Hieu N","SCNAX","87.148","87.148"
"48","240","Rick B","SCNAX","86.186","86.186"
"49","317","Michael B","NOCLUB","84.689","84.689"
"50","513","Aidan G","NOCLUB","84.547","84.547"
"51","238","Vincent C","NOCLUB","83.333","83.333"
"52","233","Bob H","NOCLUB","83.059","83.059"
"53","537","George P","NOCLUB","82.940","82.940"
"54","177","Danny C","NOCLUB","82.432","82.432"
"55","451","David B","NOCLUB","81.743","81.743"
"56","160","Terry A","NOCLUB","81.075","81.075"
"57","313","Erica Y","NOCLUB","79.623","79.623"
"58","50","Kent H","NOCLUB","79.044","79.044"
"59","6","Luis R","SCNAX","77.332","77.332"
"60","104","Samantha L","NOCLUB","74.959","74.959"
"61","144","Stephanie S","DCCSD","73.748","73.748"
"62","98","John D","SCAT","70.000","70.000"
